perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,seed,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
125.000000,28,1.000000,1.500000,8.000000,5.000000,0,0.850000,1.800000,10.000000,1.000000,3,2,1001,0.857143,85.714286,1.500000,0.000000,121.000000,114.583333,24.000000,0.043636,36.000000,0.000000,0.000000
125.000000,28,1.000000,1.500000,8.000000,5.000000,1,0.850000,1.800000,10.000000,1.000000,5,2,1002,0.857143,85.714286,1.500000,0.000000,122.000000,109.375000,24.000000,0.045714,36.000000,0.000000,0.000000
125.000000,30,1.000000,1.500000,8.000000,5.000000,2,0.850000,1.800000,10.000000,1.000000,8,2,1003,0.866667,86.666667,1.500000,0.000000,120.000000,96.153846,26.000000,0.052000,39.000000,0.000000,0.000000
125.000000,30,1.000000,1.500000,8.000000,5.000000,3,0.850000,1.800000,10.000000,1.000000,10,2,1004,0.866667,86.666667,1.500000,0.000000,120.000000,81.730769,26.000000,0.061176,39.000000,0.000000,0.000000
125.000000,30,1.000000,1.500000,8.000000,5.000000,4,0.850000,1.800000,10.000000,1.000000,13,2,1005,0.866667,86.666667,1.500000,0.000000,120.000000,72.115385,26.000000,0.069333,39.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,8.000000,5.000000,5,0.850000,1.800000,10.000000,1.000000,3,2,1006,0.878788,87.878788,1.500000,0.000000,121.242500,107.758621,29.000000,0.046400,43.500000,0.000000,0.000000
500.000000,111,1.000000,2.000000,8.000000,5.000000,0,0.850000,1.800000,10.000000,1.000000,10,2,1101,0.855856,85.585586,2.000000,0.000000,497.070000,478.947368,95.000000,0.010440,190.000000,0.000000,0.000000
500.000000,111,1.000000,2.000000,8.000000,5.000000,1,0.850000,1.800000,10.000000,1.000000,20,2,1102,0.855856,85.585586,2.000000,0.000000,497.070000,447.368421,95.000000,0.011176,190.000000,0.000000,0.000000
500.000000,120,1.000000,2.000000,8.000000,5.000000,2,0.850000,1.800000,10.000000,1.000000,30,2,1103,0.850000,85.000000,2.000000,0.000000,495.000000,372.549020,102.000000,0.013421,204.000000,0.000000,0.000000
500.000000,120,1.000000,2.000000,8.000000,5.000000,3,0.850000,1.800000,10.000000,1.000000,40,2,1104,0.850000,85.000000,2.000000,0.000000,495.000000,333.333333,102.000000,0.015000,204.000000,0.000000,0.000000
500.000000,120,1.000000,2.000000,8.000000,5.000000,4,0.850000,1.800000,10.000000,1.000000,50,2,1105,0.850000,85.000000,2.000000,0.000000,495.000000,323.529412,102.000000,0.015455,204.000000,0.000000,0.000000
500.000000,130,1.000000,2.000000,8.000000,5.000000,5,0.850000,1.800000,10.000000,1.000000,10,2,1106,0.853846,85.384615,2.000000,0.000000,495.000000,432.432432,111.000000,0.011562,222.000000,0.000000,0.000000
5000.000000,1100,1.000000,2.000000,8.000000,5.000000,0,0.850000,1.800000,10.000000,1.000000,100,2,1201,0.850000,85.000000,1.974332,0.225118,4995.000000,4882.352941,935.000000,0.001024,1846.000000,0.000000,0.000000
5000.000000,1100,1.000000,2.000000,8.000000,5.000000,1,0.850000,1.800000,10.000000,1.000000,200,2,1202,0.850000,85.000000,1.887701,0.456924,4995.000000,4556.149733,935.000000,0.001097,1765.000000,0.000000,0.000000
5000.000000,1200,1.000000,2.000000,8.000000,5.000000,2,0.850000,1.800000,10.000000,1.000000,300,2,1203,0.850000,85.000000,1.765912,0.631092,4998.870000,3696.078431,1020.000000,0.001353,1801.229884,0.000000,0.000000
5000.000000,1200,1.000000,2.000000,8.000000,5.000000,3,0.850000,1.800000,10.000000,1.000000,400,2,1204,0.850000,85.000000,1.662745,0.730622,4995.000000,3387.254902,1020.000000,0.001476,1696.000000,0.000000,0.000000
