perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
100.000000,50,1.000000,2.000000,8.000000,2.000000,0,0.800000,1.500000,10.000000,0.010000,2,0,0.960000,96.000000,2.000000,0.000000,98.000000,97.916667,48.000000,0.020426,96.000000,9880.000000,0.000047
100.000000,50,1.000000,2.000000,8.000000,2.000000,0,0.800000,1.500000,10.000000,0.010000,2,1,0.960000,96.000000,2.000000,0.000000,98.000000,97.916667,48.000000,0.020426,96.000000,9813.000000,0.000047
100.000000,50,1.000000,2.000000,8.000000,2.000000,0,0.800000,1.500000,10.000000,0.010000,2,2,0.960000,96.000000,2.000000,0.000000,98.000000,97.916667,48.000000,0.020426,96.000000,7809.000000,0.000059
150.000000,75,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.012000,3,0,0.960000,96.000000,2.000000,0.000000,148.000000,147.916667,72.000000,0.013521,144.000000,9844.000000,0.000047
150.000000,75,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.012000,3,1,0.960000,96.000000,2.000000,0.000000,148.000000,147.916667,72.000000,0.013521,144.000000,9797.000000,0.000047
150.000000,75,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.012000,3,2,0.960000,96.000000,2.000000,0.000000,148.000000,147.916667,72.000000,0.013521,144.000000,8363.000000,0.000055
200.000000,100,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.015000,4,0,0.960000,96.000000,2.000000,0.000000,198.000000,197.916667,96.000000,0.010105,192.000000,9883.000000,0.000047
200.000000,100,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.015000,4,1,0.960000,96.000000,2.000000,0.000000,198.000000,197.916667,96.000000,0.010105,192.000000,9830.000000,0.000047
200.000000,100,1.000000,2.000000,10.000000,2.000000,0,0.800000,1.500000,10.000000,0.015000,4,2,0.960000,96.000000,2.000000,0.000000,198.000000,197.916667,96.000000,0.010105,192.000000,7806.000000,0.000059
100.000000,60,1.000000,2.000000,8.000000,1.700000,1,0.750000,1.200000,8.000000,0.008000,2,0,0.966667,96.666667,2.000000,0.000000,98.600000,98.275862,58.000000,0.017298,116.000000,9765.000000,0.000048
100.000000,60,1.000000,2.000000,8.000000,1.700000,1,0.750000,1.200000,8.000000,0.008000,2,1,0.966667,96.666667,2.000000,0.000000,98.300000,96.551724,58.000000,0.017607,116.000000,9795.000000,0.000048
100.000000,60,1.000000,2.000000,8.000000,1.700000,1,0.750000,1.200000,8.000000,0.008000,2,2,0.966667,96.666667,2.000000,0.000000,98.300000,96.551724,58.000000,0.017607,116.000000,6272.000000,0.000074
150.000000,90,1.000000,2.000000,10.000000,1.700000,1,0.750000,1.200000,8.000000,0.010000,3,0,0.966667,96.666667,2.000000,0.000000,148.300000,146.551724,87.000000,0.011600,174.000000,9846.000000,0.000047
150.000000,90,1.000000,2.000000,10.000000,1.700000,1,0.750000,1.200000,8.000000,0.010000,3,1,0.966667,96.666667,2.000000,0.000000,148.300000,146.551724,87.000000,0.011600,174.000000,9888.000000,0.000047
150.000000,90,1.000000,2.000000,10.000000,1.700000,1,0.750000,1.200000,8.000000,0.010000,3,2,0.966667,96.666667,2.000000,0.000000,148.300000,146.551724,87.000000,0.011600,174.000000,7641.000000,0.000061
200.000000,120,1.000000,2.000000,12.000000,1.700000,2,0.850000,1.800000,12.000000,0.012000,5,0,0.958333,95.833333,2.000000,0.000000,198.300000,196.521739,115.000000,0.008650,230.000000,9679.000000,0.000047
200.000000,120,1.000000,2.000000,12.000000,1.700000,2,0.850000,1.800000,12.000000,0.012000,5,1,0.958333,95.833333,2.000000,0.000000,198.300000,196.521739,115.000000,0.008650,230.000000,9777.000000,0.000047
200.000000,120,1.000000,2.000000,12.000000,1.700000,2,0.850000,1.800000,12.000000,0.012000,5,2,0.958333,95.833333,2.000000,0.000000,198.300000,196.521739,115.000000,0.008650,230.000000,8761.000000,0.000052
250.000000,140,1.000000,2.000000,12.000000,1.800000,2,0.850000,1.800000,12.000000,0.014000,6,0,0.957143,95.714286,2.000000,0.000000,248.200000,246.268657,134.000000,0.007309,268.000000,9824.000000,0.000047
250.000000,140,1.000000,2.000000,12.000000,1.800000,2,0.850000,1.800000,12.000000,0.014000,6,1,0.957143,95.714286,2.000000,0.000000,248.200000,246.268657,134.000000,0.007309,268.000000,9873.000000,0.000046
