perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
150.000000,100,1.000000,2.000000,4.000000,1.500000,0,0.850000,1.500000,10.000000,0.015000,3,0,0.970000,97.000000,2.000000,0.000000,148.500000,148.453608,97.000000,0.010104,194.000000,4609.000000,0.000102
150.000000,100,1.000000,2.000000,4.000000,1.500000,1,0.850000,1.500000,10.000000,0.015000,3,1,0.970000,97.000000,2.000000,0.000000,148.500000,148.453608,97.000000,0.010104,194.000000,4751.000000,0.000099
150.000000,100,1.000000,2.000000,4.000000,1.500000,2,0.850000,1.500000,10.000000,0.015000,3,2,0.970000,97.000000,2.000000,0.000000,148.500000,148.453608,97.000000,0.010104,194.000000,3127.000000,0.000150
300.000000,200,1.000000,2.000000,4.000000,1.500000,0,0.850000,1.500000,10.000000,0.020000,5,0,0.975000,97.500000,2.000000,0.000000,298.500000,298.461538,195.000000,0.005026,390.000000,4805.000000,0.000099
300.000000,200,1.000000,2.000000,4.000000,1.500000,1,0.850000,1.500000,10.000000,0.020000,5,1,0.975000,97.500000,2.000000,0.000000,298.500000,298.461538,195.000000,0.005026,390.000000,4891.000000,0.000097
300.000000,200,1.000000,2.000000,4.000000,1.500000,2,0.850000,1.500000,10.000000,0.020000,5,2,0.975000,97.500000,2.000000,0.000000,298.500000,298.461538,195.000000,0.005026,390.000000,2947.000000,0.000161
500.000000,300,1.000000,2.000000,4.500000,1.670000,0,0.850000,1.500000,10.000000,0.025000,7,0,0.976667,97.666667,2.000000,0.000000,499.330000,498.293515,293.000000,0.003351,586.000000,4875.000000,0.000098
500.000000,300,1.000000,2.000000,4.500000,1.670000,1,0.850000,1.500000,10.000000,0.025000,7,1,0.976667,97.666667,2.000000,0.000000,499.330000,498.293515,293.000000,0.003351,586.000000,4871.000000,0.000098
500.000000,300,1.000000,2.000000,4.500000,1.670000,2,0.850000,1.500000,10.000000,0.025000,7,2,0.976667,97.666667,2.000000,0.000000,499.330000,498.293515,293.000000,0.003351,586.000000,4195.000000,0.000114
800.000000,400,1.000000,2.000000,5.000000,2.000000,0,0.850000,1.500000,10.000000,0.030000,10,0,0.975000,97.500000,2.000000,0.000000,798.000000,797.948718,390.000000,0.002506,780.000000,4860.000000,0.000098
800.000000,400,1.000000,2.000000,5.000000,2.000000,1,0.850000,1.500000,10.000000,0.030000,10,1,0.975000,97.500000,2.000000,0.000000,798.000000,797.948718,390.000000,0.002506,780.000000,4802.000000,0.000099
800.000000,400,1.000000,2.000000,5.000000,2.000000,2,0.850000,1.500000,10.000000,0.030000,10,2,0.975000,97.500000,2.000000,0.000000,798.000000,797.948718,390.000000,0.002506,780.000000,3229.000000,0.000147
1000.000000,500,1.000000,2.000000,5.000000,2.000000,0,0.850000,1.500000,10.000000,0.035000,12,0,0.976000,97.600000,2.000000,0.000000,998.000000,997.950820,488.000000,0.002004,976.000000,4890.000000,0.000097
1000.000000,500,1.000000,2.000000,5.000000,2.000000,1,0.850000,1.500000,10.000000,0.035000,12,1,0.976000,97.600000,2.000000,0.000000,998.000000,997.950820,488.000000,0.002004,976.000000,4889.000000,0.000097
1000.000000,500,1.000000,2.000000,5.000000,2.000000,2,0.850000,1.500000,10.000000,0.035000,12,2,0.976000,97.600000,2.000000,0.000000,998.000000,997.950820,488.000000,0.002004,976.000000,3556.000000,0.000134
