perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution
100.0,20,1.0,2.0,5.0,5.0,0,0.80,1.5,10.0,0.010,2,0
100.0,20,1.0,2.0,5.0,5.0,0,0.80,1.5,10.0,0.010,2,1
100.0,20,1.0,2.0,5.0,5.0,0,0.80,1.5,10.0,0.010,2,2
150.0,30,1.0,2.0,6.0,5.0,0,0.80,1.5,10.0,0.012,3,0
150.0,30,1.0,2.0,6.0,5.0,0,0.80,1.5,10.0,0.012,3,1
150.0,30,1.0,2.0,6.0,5.0,0,0.80,1.5,10.0,0.012,3,2
200.0,40,1.0,2.0,7.0,5.0,0,0.80,1.5,10.0,0.015,4,0
200.0,40,1.0,2.0,7.0,5.0,0,0.80,1.5,10.0,0.015,4,1
200.0,40,1.0,2.0,7.0,5.0,0,0.80,1.5,10.0,0.015,4,2
100.0,25,1.0,2.0,5.0,4.0,1,0.75,1.2,8.0,0.008,2,0
100.0,25,1.0,2.0,5.0,4.0,1,0.75,1.2,8.0,0.008,2,1
100.0,25,1.0,2.0,5.0,4.0,1,0.75,1.2,8.0,0.008,2,2
150.0,35,1.0,2.0,6.0,4.3,1,0.75,1.2,8.0,0.010,3,0
150.0,35,1.0,2.0,6.0,4.3,1,0.75,1.2,8.0,0.010,3,1
150.0,35,1.0,2.0,6.0,4.3,1,0.75,1.2,8.0,0.010,3,2
200.0,50,1.0,2.0,8.0,4.0,2,0.85,1.8,12.0,0.012,5,0
200.0,50,1.0,2.0,8.0,4.0,2,0.85,1.8,12.0,0.012,5,1
200.0,50,1.0,2.0,8.0,4.0,2,0.85,1.8,12.0,0.012,5,2
250.0,45,1.0,2.0,8.0,5.5,2,0.85,1.8,12.0,0.014,6,0
250.0,45,1.0,2.0,8.0,5.5,2,0.85,1.8,12.0,0.014,6,1
