perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,initial_active,spare_trigger_ratio,spare_target_factor,neighbor_balance_factor,strike_fraction,seed
125.0,25,1.0,1.5,8.0,5.0,0,0.85,1.8,10.0,1.0,0,2,25,0.90,1.1,1.0,0.10,1001
125.0,25,1.0,1.5,8.0,5.0,1,0.85,1.8,10.0,1.0,0,2,25,0.90,1.1,1.0,0.20,1002
125.0,25,1.0,1.5,8.0,5.0,2,0.85,1.8,10.0,1.0,0,2,25,0.90,1.2,0.4,0.30,1003
125.0,25,1.0,1.5,8.0,5.0,3,0.85,1.8,10.0,1.0,0,2,25,0.90,1.2,0.5,0.40,1004
125.0,25,1.0,1.5,8.0,5.0,4,0.85,1.8,10.0,1.0,0,2,25,0.90,1.2,0.6,0.50,1005
125.0,25,1.0,1.5,8.0,5.0,5,0.85,1.8,10.0,1.0,0,2,25,0.90,1.3,1.0,0.10,1006

500.0,100,1.0,2.0,8.0,5.0,0,0.85,1.8,10.0,1.0,0,2,100,0.90,1.1,1.0,0.10,1101
500.0,100,1.0,2.0,8.0,5.0,1,0.85,1.8,10.0,1.0,0,2,100,0.90,1.1,1.0,0.20,1102
500.0,100,1.0,2.0,8.0,5.0,2,0.85,1.8,10.0,1.0,0,2,100,0.90,1.2,0.4,0.30,1103
500.0,100,1.0,2.0,8.0,5.0,3,0.85,1.8,10.0,1.0,0,2,100,0.90,1.2,0.5,0.40,1104
500.0,100,1.0,2.0,8.0,5.0,4,0.85,1.8,10.0,1.0,0,2,100,0.90,1.2,0.6,0.50,1105
500.0,100,1.0,2.0,8.0,5.0,5,0.85,1.8,10.0,1.0,0,2,100,0.90,1.3,1.0,0.10,1106

5000.0,1000,1.0,2.0,8.0,5.0,0,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.1,1.0,0.10,1201
5000.0,1000,1.0,2.0,8.0,5.0,1,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.1,1.0,0.20,1202
5000.0,1000,1.0,2.0,8.0,5.0,2,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.2,0.4,0.30,1203
5000.0,1000,1.0,2.0,8.0,5.0,3,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.2,0.5,0.40,1204
5000.0,1000,1.0,2.0,8.0,5.0,4,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.2,0.6,0.50,1205
5000.0,1000,1.0,2.0,8.0,5.0,5,0.85,1.8,10.0,1.0,0,2,1000,0.90,1.3,1.0,0.10,1206

40000.0,10000,1.0,2.0,8.0,4.0,0,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.1,1.0,0.10,1301
40000.0,10000,1.0,2.0,8.0,4.0,1,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.1,1.0,0.20,1302
40000.0,10000,1.0,2.0,8.0,4.0,2,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.2,0.4,0.30,1303
40000.0,10000,1.0,2.0,8.0,4.0,3,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.2,0.5,0.40,1304
40000.0,10000,1.0,2.0,8.0,4.0,4,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.2,0.6,0.50,1305
40000.0,10000,1.0,2.0,8.0,4.0,5,0.85,1.8,10.0,1.0,0,2,10000,0.90,1.3,1.0,0.10,1306

48000.0,12000,1.0,2.0,6.0,4.0,0,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.1,1.0,0.10,1401
48000.0,12000,1.0,2.0,6.0,4.0,1,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.1,1.0,0.20,1402
48000.0,12000,1.0,2.0,6.0,4.0,2,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.2,0.4,0.30,1403
48000.0,12000,1.0,2.0,6.0,4.0,3,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.2,0.5,0.40,1404
48000.0,12000,1.0,2.0,6.0,4.0,4,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.2,0.6,0.50,1405
48000.0,12000,1.0,2.0,6.0,4.0,5,0.85,1.8,10.0,1.0,0,2,12000,0.90,1.3,1.0,0.10,1406

# Added spatial (1) and random (0) variants to exercise failure modes and spares
500.0,100,1.0,2.0,8.0,5.0,0,0.92,1.8,10.0,1.0,0,0,100,0.92,1.3,1.0,0.30,2101
500.0,100,1.0,2.0,8.0,5.0,1,0.92,1.8,10.0,1.0,0,1,100,0.92,1.3,1.0,0.30,2102
5000.0,1000,1.0,2.0,8.0,5.0,0,0.92,1.8,10.0,1.0,0,0,1000,0.92,1.3,1.0,0.30,2201
5000.0,1000,1.0,2.0,8.0,5.0,1,0.92,1.8,10.0,1.0,0,1,1000,0.92,1.3,1.0,0.30,2202
40000.0,10000,1.0,2.0,8.0,4.0,0,0.92,1.8,10.0,1.0,0,0,10000,0.92,1.3,1.0,0.30,2301
40000.0,10000,1.0,2.0,8.0,4.0,1,0.92,1.8,10.0,1.0,0,1,10000,0.92,1.3,1.0,0.30,2302
