perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,initial_active,spare_trigger_ratio,spare_target_factor,neighbor_balance_factor,strike_fraction,seed
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5001
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5002
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5003
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5004
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5005
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.1,5006
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5007
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5008
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5009
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5010
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5011
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.2,5012
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5013
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5014
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5015
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5016
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5017
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.3,5018
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5019
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5020
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5021
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5022
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5023
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.4,5024
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5025
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5026
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5027
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5028
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5029
125.0,33,1.0,1.5,10.0,5.0,5,0.9,1.8,10.0,1.0,0,0,25,0.9,1.3,1.0,0.5,5030
125.0,33,1.0,1.5,10.0,5.0,0,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5031
125.0,33,1.0,1.5,10.0,5.0,1,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5032
125.0,33,1.0,1.5,10.0,5.0,2,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5033
125.0,33,1.0,1.5,10.0,5.0,3,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5034
125.0,33,1.0,1.5,10.0,5.0,4,0.9,1.8,10.0,1.0,0,1,25,0.9,1.3,1.0,0.1,5035
