perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution
100.0,50,1.0,2.0,8.0,2.0,0,0.80,1.5,10.0,0.010,2,0
100.0,50,1.0,2.0,8.0,2.0,0,0.80,1.5,10.0,0.010,2,1
100.0,50,1.0,2.0,8.0,2.0,0,0.80,1.5,10.0,0.010,2,2
150.0,75,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.012,3,0
150.0,75,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.012,3,1
150.0,75,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.012,3,2
200.0,100,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.015,4,0
200.0,100,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.015,4,1
200.0,100,1.0,2.0,10.0,2.0,0,0.80,1.5,10.0,0.015,4,2
100.0,60,1.0,2.0,8.0,1.7,1,0.75,1.2,8.0,0.008,2,0
100.0,60,1.0,2.0,8.0,1.7,1,0.75,1.2,8.0,0.008,2,1
100.0,60,1.0,2.0,8.0,1.7,1,0.75,1.2,8.0,0.008,2,2
150.0,90,1.0,2.0,10.0,1.7,1,0.75,1.2,8.0,0.010,3,0
150.0,90,1.0,2.0,10.0,1.7,1,0.75,1.2,8.0,0.010,3,1
150.0,90,1.0,2.0,10.0,1.7,1,0.75,1.2,8.0,0.010,3,2
200.0,120,1.0,2.0,12.0,1.7,2,0.85,1.8,12.0,0.012,5,0
200.0,120,1.0,2.0,12.0,1.7,2,0.85,1.8,12.0,0.012,5,1
200.0,120,1.0,2.0,12.0,1.7,2,0.85,1.8,12.0,0.012,5,2
250.0,140,1.0,2.0,12.0,1.8,2,0.85,1.8,12.0,0.014,6,0
250.0,140,1.0,2.0,12.0,1.8,2,0.85,1.8,12.0,0.014,6,1
