perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution
150.0,100,1.0,2.0,4.0,1.5,0,0.85,1.5,10.0,0.015,3,0
150.0,100,1.0,2.0,4.0,1.5,1,0.85,1.5,10.0,0.015,3,1
150.0,100,1.0,2.0,4.0,1.5,2,0.85,1.5,10.0,0.015,3,2
300.0,200,1.0,2.0,4.0,1.5,0,0.85,1.5,10.0,0.020,5,0
300.0,200,1.0,2.0,4.0,1.5,1,0.85,1.5,10.0,0.020,5,1
300.0,200,1.0,2.0,4.0,1.5,2,0.85,1.5,10.0,0.020,5,2
500.0,300,1.0,2.0,4.5,1.67,0,0.85,1.5,10.0,0.025,7,0
500.0,300,1.0,2.0,4.5,1.67,1,0.85,1.5,10.0,0.025,7,1
500.0,300,1.0,2.0,4.5,1.67,2,0.85,1.5,10.0,0.025,7,2
800.0,400,1.0,2.0,5.0,2.0,0,0.85,1.5,10.0,0.030,10,0
800.0,400,1.0,2.0,5.0,2.0,1,0.85,1.5,10.0,0.030,10,1
800.0,400,1.0,2.0,5.0,2.0,2,0.85,1.5,10.0,0.030,10,2
1000.0,500,1.0,2.0,5.0,2.0,0,0.85,1.5,10.0,0.035,12,0
1000.0,500,1.0,2.0,5.0,2.0,1,0.85,1.5,10.0,0.035,12,1
1000.0,500,1.0,2.0,5.0,2.0,2,0.85,1.5,10.0,0.035,12,2
