step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;21;1.000000;0.750000;1.250000;0.077152;2.500000;5.000000;4.761905;0.733859
1;21;1.000000;0.755000;1.245000;0.075613;2.525000;5.000000;4.761905;0.725784
2;21;1.000000;0.759875;1.240125;0.074120;2.549500;5.000000;4.761905;0.717943
3;21;1.000000;0.764628;1.235371;0.072671;2.573512;5.000000;4.761905;0.710325
4;21;1.000000;0.769264;1.230736;0.071266;2.597050;5.000000;4.761905;0.702924
5;21;1.000000;0.773784;1.226216;0.069902;2.620123;5.000000;4.761905;0.695731
6;21;1.000000;0.778193;1.221807;0.068579;2.642745;5.000000;4.761905;0.688739
7;21;1.000000;0.782494;1.217506;0.067295;2.664925;5.000000;4.761905;0.681941
8;21;1.000000;0.786689;1.213311;0.066048;2.686676;5.000000;4.761905;0.675330
9;21;1.000000;0.790781;1.209219;0.064838;2.708007;5.000000;4.761905;0.668900
10;21;1.000000;0.794774;1.205226;0.063662;2.728929;5.000000;4.761905;0.662643
11;21;1.000000;0.798669;1.201331;0.062521;2.749452;5.000000;4.761905;0.656553
12;21;1.000000;0.802471;1.197529;0.061413;2.769585;5.000000;4.761905;0.650626
13;21;1.000000;0.806180;1.193820;0.060336;2.789338;5.000000;4.761905;0.644854
14;21;1.000000;0.809800;1.190200;0.059291;2.808720;5.000000;4.761905;0.639233
15;21;1.000000;0.813334;1.186666;0.058275;2.827740;5.000000;4.761905;0.633758
16;21;1.000000;0.816782;1.183218;0.057287;2.846406;5.000000;4.761905;0.628423
17;21;1.000000;0.820149;1.179851;0.056328;2.864728;5.000000;4.761905;0.623223
18;21;1.000000;0.823436;1.176564;0.055395;2.882713;5.000000;4.761905;0.618153
19;21;1.000000;0.826645;1.173355;0.054489;2.900370;5.000000;4.761905;0.613210
20;21;1.000000;0.829779;1.170221;0.053607;2.917705;5.000000;4.761905;0.608388
21;21;1.000000;0.832838;1.167162;0.052750;2.934727;5.000000;4.761905;0.603685
22;21;1.000000;0.835826;1.164174;0.051917;2.951443;5.000000;4.761905;0.599094
23;21;1.000000;0.838745;1.161255;0.051106;2.967861;5.000000;4.761905;0.594614
24;21;1.000000;0.841595;1.158405;0.050317;2.983986;5.000000;4.761905;0.590239
25;21;1.000000;0.844380;1.155620;0.049550;2.999827;5.000000;4.761905;0.585967
26;21;1.000000;0.847100;1.152900;0.048803;3.015389;5.000000;4.761905;0.581794
27;21;1.000000;0.849757;1.150243;0.048076;3.030679;5.000000;4.761905;0.577716
28;21;1.000000;0.852354;1.147646;0.047369;3.045703;5.000000;4.761905;0.573731
29;21;1.000000;0.854891;1.145109;0.046680;3.060468;5.000000;4.761905;0.569836
30;21;1.000000;0.857371;1.142629;0.046009;3.074979;5.000000;4.761905;0.566027
31;21;1.000000;0.859794;1.140206;0.045355;3.089241;5.000000;4.761905;0.562301
32;21;1.000000;0.862162;1.137838;0.044719;3.103262;5.000000;4.761905;0.558657
33;21;1.000000;0.864478;1.135522;0.044099;3.117046;5.000000;4.761905;0.555091
34;21;1.000000;0.866741;1.133259;0.043495;3.130598;5.000000;4.761905;0.551600
35;21;1.000000;0.868953;1.131047;0.042906;3.143924;5.000000;4.761905;0.548184
36;21;1.000000;0.871117;1.128883;0.042332;3.157029;5.000000;4.761905;0.544838
37;21;1.000000;0.873232;1.126768;0.041773;3.169917;5.000000;4.761905;0.541561
38;21;1.000000;0.875301;1.124699;0.041227;3.182594;5.000000;4.761905;0.538350
39;21;1.000000;0.877324;1.122676;0.040695;3.195064;5.000000;4.761905;0.535204
40;21;1.000000;0.879302;1.120698;0.040176;3.207331;5.000000;4.761905;0.532121
41;21;1.000000;0.881238;1.118762;0.039670;3.219401;5.000000;4.761905;0.529098
42;21;1.000000;0.883131;1.116869;0.039176;3.231277;5.000000;4.761905;0.526134
43;21;1.000000;0.884983;1.115017;0.038693;3.242964;5.000000;4.761905;0.523227
44;21;1.000000;0.886795;1.113205;0.038223;3.254466;5.000000;4.761905;0.520375
45;21;1.000000;0.888568;1.111432;0.037763;3.265787;5.000000;4.761905;0.517577
46;21;1.000000;0.890303;1.109697;0.037315;3.276930;5.000000;4.761905;0.514831
47;21;1.000000;0.892001;1.107999;0.036877;3.287899;5.000000;4.761905;0.512135
48;21;1.000000;0.893663;1.106337;0.036449;3.298699;5.000000;4.761905;0.509488
49;21;1.000000;0.895290;1.104710;0.036031;3.309333;5.000000;4.761905;0.506889
50;21;1.000000;0.896882;1.103118;0.035622;3.319804;5.000000;4.761905;0.504336
51;21;1.000000;0.898441;1.101559;0.035223;3.330116;5.000000;4.761905;0.501828
52;21;1.000000;0.899967;1.100033;0.034833;3.340272;5.000000;4.761905;0.499363
53;21;1.000000;0.901462;1.098538;0.034451;3.350275;5.000000;4.761905;0.496941
54;21;1.000000;0.902925;1.097075;0.034078;3.360129;5.000000;4.761905;0.494560
55;21;1.000000;0.904358;1.095642;0.033714;3.369836;5.000000;4.761905;0.492219
56;21;1.000000;0.905761;1.094239;0.033357;3.379401;5.000000;4.761905;0.489917
57;22;1.000000;0.750000;1.250000;0.081987;2.500000;5.000000;4.545455;0.801672
58;22;1.000000;0.755000;1.245000;0.080473;2.525000;5.000000;4.545455;0.793321
59;22;1.000000;0.759875;1.240125;0.079005;2.549500;4.999997;4.545455;0.785191
60;22;1.000000;0.764629;1.235371;0.077581;2.573512;4.999994;4.545455;0.777274
61;22;1.000000;0.769264;1.230736;0.076199;2.597050;4.999986;4.545455;0.769561
62;22;1.000000;0.773784;1.226216;0.074857;2.620123;4.999971;4.545455;0.762046
63;22;1.000000;0.778193;1.221807;0.073555;2.642745;4.999948;4.545455;0.754722
64;22;1.000000;0.782494;1.217506;0.072292;2.664925;4.999933;4.545455;0.747581
65;22;1.000000;0.786689;1.213311;0.071064;2.686676;4.999927;4.545455;0.740618
66;22;1.000000;0.790781;1.209219;0.069873;2.708007;4.999920;4.545455;0.733825
67;22;1.000000;0.794774;1.205226;0.068716;2.728929;4.999912;4.545455;0.727197
68;22;1.000000;0.798669;1.201331;0.067592;2.749452;4.999903;4.545455;0.720728
69;22;1.000000;0.802471;1.197529;0.066500;2.769585;4.999892;4.545455;0.714413
70;22;1.000000;0.806180;1.193820;0.065439;2.789338;4.999880;4.545455;0.708246
71;22;1.000000;0.809800;1.190200;0.064408;2.808720;4.999867;4.545455;0.702222
72;22;1.000000;0.813334;1.186666;0.063406;2.827740;4.999852;4.545455;0.696336
73;22;1.000000;0.816783;1.183217;0.062432;2.846406;4.999835;4.545455;0.690583
74;22;1.000000;0.820149;1.179851;0.061486;2.864728;4.999815;4.545455;0.684959
75;22;1.000000;0.823436;1.176564;0.060565;2.882713;4.999793;4.545455;0.679459
76;22;1.000000;0.826645;1.173355;0.059670;2.900370;4.999769;4.545455;0.674079
77;22;1.000000;0.829779;1.170221;0.058799;2.917705;4.999741;4.545455;0.668815
78;22;1.000000;0.832838;1.167162;0.057952;2.934727;4.999711;4.545455;0.663663
79;22;1.000000;0.835826;1.164174;0.057127;2.951443;4.999677;4.545455;0.658620
80;22;1.000000;0.838745;1.161255;0.056325;2.967861;4.999640;4.545455;0.653681
81;22;1.000000;0.841595;1.158405;0.055544;2.983986;4.999600;4.545455;0.648844
82;22;1.000000;0.844380;1.155620;0.054784;2.999827;4.999555;4.545455;0.644104
83;22;1.000000;0.847100;1.152900;0.054044;3.015389;4.999506;4.545455;0.639459
84;22;1.000000;0.849757;1.150243;0.053323;3.030679;4.999453;4.545455;0.634906
85;22;1.000000;0.852354;1.147646;0.052621;3.045703;4.999395;4.545455;0.630442
86;22;1.000000;0.854891;1.145109;0.051937;3.060468;4.999333;4.545455;0.626063
87;22;1.000000;0.857371;1.142629;0.051270;3.074978;4.999266;4.545455;0.621768
88;22;1.000000;0.859794;1.140206;0.050621;3.089241;4.999193;4.545455;0.617553
89;22;1.000000;0.862162;1.137838;0.049988;3.103262;4.999116;4.545455;0.613415
90;22;1.000000;0.864478;1.135522;0.049370;3.117046;4.999033;4.545455;0.609354
91;22;1.000000;0.866741;1.133259;0.048768;3.130598;4.998944;4.545455;0.605365
92;22;1.000000;0.868953;1.131047;0.048181;3.143924;4.998849;4.545455;0.601447
93;22;1.000000;0.871117;1.128883;0.047609;3.157029;4.998749;4.545455;0.597598
94;22;1.000000;0.873232;1.126768;0.047050;3.169917;4.998642;4.545455;0.593816
95;22;1.000000;0.875301;1.124699;0.046505;3.182594;4.998529;4.545455;0.590098
96;22;1.000000;0.877324;1.122676;0.045973;3.195064;4.998409;4.545455;0.586443
97;22;1.000000;0.879302;1.120698;0.045453;3.207331;4.998283;4.545455;0.582848
98;22;1.000000;0.881238;1.118762;0.044946;3.219401;4.998150;4.545455;0.579313
99;22;1.000000;0.883131;1.116869;0.044450;3.231277;4.998010;4.545455;0.575834
100;22;1.000000;0.884983;1.115017;0.043966;3.242964;4.997863;4.545455;0.572412
101;22;1.000000;0.886795;1.113205;0.043494;3.254466;4.997709;4.545455;0.569043
102;22;1.000000;0.888568;1.111432;0.043032;3.265786;4.997547;4.545455;0.565727
103;22;1.000000;0.890303;1.109697;0.042580;3.276930;4.997378;4.545455;0.562461
104;22;1.000000;0.892001;1.107999;0.042139;3.287899;4.997202;4.545455;0.559245
105;22;1.000000;0.893663;1.106337;0.041707;3.298699;4.997018;4.545455;0.556078
106;22;1.000000;0.895290;1.104710;0.041285;3.309333;4.996826;4.545455;0.552957
107;22;1.000000;0.896882;1.103118;0.040872;3.319804;4.996627;4.545455;0.549881
108;22;1.000000;0.898441;1.101559;0.040469;3.330116;4.996420;4.545455;0.546850
109;22;1.000000;0.899967;1.100033;0.040074;3.340272;4.996204;4.545455;0.543861
110;22;1.000000;0.901462;1.098538;0.039687;3.350275;4.995981;4.545455;0.540915
111;22;1.000000;0.902925;1.097075;0.039308;3.360129;4.995749;4.545455;0.538009
112;22;1.000000;0.904358;1.095642;0.038938;3.369836;4.995509;4.545455;0.535143
113;22;1.000000;0.905762;1.094238;0.038575;3.379400;4.995261;4.545455;0.532316
114;22;1.000000;0.907136;1.092864;0.038220;3.388824;4.995005;4.545455;0.529526
115;22;1.000000;0.908483;1.091517;0.037872;3.398110;4.994740;4.545455;0.526773
116;22;1.000000;0.909802;1.090198;0.037531;3.407262;4.994467;4.545455;0.524055
117;22;1.000000;0.911094;1.088906;0.037196;3.416282;4.994186;4.545455;0.521373
118;22;1.000000;0.912361;1.087639;0.036869;3.425173;4.993896;4.545455;0.518724
119;22;1.000000;0.913602;1.086398;0.036548;3.433936;4.993597;4.545455;0.516108
120;22;1.000000;0.914818;1.085182;0.036233;3.442576;4.993290;4.545455;0.513525
121;22;1.000000;0.916009;1.083991;0.035924;3.451095;4.992974;4.545455;0.510973
122;22;1.000000;0.917177;1.082823;0.035622;3.459494;4.992650;4.545455;0.508452
123;22;1.000000;0.918322;1.081678;0.035325;3.467776;4.992317;4.545455;0.505960
124;22;1.000000;0.919445;1.080555;0.035033;3.475944;4.991976;4.545455;0.503498
125;22;1.000000;0.920545;1.079455;0.034747;3.483999;4.991626;4.545455;0.501065
126;22;1.000000;0.921624;1.078376;0.034467;3.491945;4.991267;4.545455;0.498659
127;22;1.000000;0.922682;1.077318;0.034191;3.499782;4.990900;4.545455;0.496281
128;22;1.000000;0.923719;1.076281;0.033921;3.507514;4.990524;4.545455;0.493929
129;22;1.000000;0.924736;1.075264;0.033655;3.515142;4.990159;4.545455;0.491603
130;22;1.000000;0.925734;1.074266;0.033394;3.522669;4.989882;4.545455;0.489303
131;22;1.000000;0.926713;1.073287;0.033138;3.530095;4.989600;4.545455;0.487027
132;22;1.000000;0.927673;1.072327;0.032886;3.537424;4.989313;4.545455;0.484775
133;22;1.000000;0.928615;1.071385;0.032639;3.544657;4.989020;4.545455;0.482548
134;22;1.000000;0.929539;1.070461;0.032396;3.551795;4.988723;4.545455;0.480343
135;22;1.000000;0.930446;1.069554;0.032157;3.558841;4.988420;4.545455;0.478162
136;22;1.000000;0.931335;1.068665;0.031922;3.565797;4.988113;4.545455;0.476002
137;22;1.000000;0.932208;1.067792;0.031691;3.572663;4.987800;4.545455;0.473864
138;22;1.000000;0.933065;1.066935;0.031464;3.579442;4.987482;4.545455;0.471748
139;22;1.000000;0.933906;1.066094;0.031241;3.586136;4.987159;4.545455;0.469652
140;22;1.000000;0.934732;1.065268;0.031021;3.592745;4.986831;4.545455;0.467576
141;22;1.000000;0.935543;1.064457;0.030805;3.599272;4.986498;4.545455;0.465521
142;22;1.000000;0.936338;1.063662;0.030592;3.605718;4.986159;4.545455;0.463485
143;22;1.000000;0.937119;1.062881;0.030383;3.612084;4.985815;4.545455;0.461469
144;22;1.000000;0.937886;1.062114;0.030177;3.618372;4.985466;4.545455;0.459471
145;22;1.000000;0.938640;1.061360;0.029974;3.624583;4.985112;4.545455;0.457491
146;22;1.000000;0.939380;1.060620;0.029774;3.630719;4.984753;4.545455;0.455530
147;22;1.000000;0.940106;1.059894;0.029578;3.636781;4.984388;4.545455;0.453586
148;22;1.000000;0.940820;1.059180;0.029384;3.642771;4.984018;4.545455;0.451659
149;22;1.000000;0.941521;1.058479;0.029193;3.648689;4.983643;4.545455;0.449750
150;22;1.000000;0.942209;1.057791;0.029006;3.654537;4.983262;4.545455;0.447857
151;22;1.000000;0.942886;1.057114;0.028821;3.660316;4.982877;4.545455;0.445980
152;22;1.000000;0.943551;1.056449;0.028638;3.666027;4.982486;4.545455;0.444120
153;22;1.000000;0.944204;1.055796;0.028458;3.671672;4.982090;4.545455;0.442275
154;22;1.000000;0.944846;1.055154;0.028281;3.677252;4.981689;4.545455;0.440446
155;22;1.000000;0.945477;1.054523;0.028107;3.682767;4.981283;4.545455;0.438632
156;22;1.000000;0.946097;1.053903;0.027935;3.688219;4.980871;4.545455;0.436833
157;22;1.000000;0.946706;1.053294;0.027765;3.693610;4.980454;4.545455;0.435048
158;22;1.000000;0.947305;1.052695;0.027597;3.698939;4.980032;4.545455;0.433278
159;22;1.000000;0.947894;1.052106;0.027432;3.704209;4.979605;4.545455;0.431522
160;22;1.000000;0.948473;1.051527;0.027270;3.709419;4.979173;4.545455;0.429780
161;22;1.000000;0.949042;1.050958;0.027109;3.714572;4.978736;4.545455;0.428051
162;22;1.000000;0.949602;1.050398;0.026951;3.719668;4.978293;4.545455;0.426336
163;22;1.000000;0.950153;1.049847;0.026794;3.724707;4.977846;4.545455;0.424634
164;22;1.000000;0.950694;1.049306;0.026640;3.729692;4.977393;4.545455;0.422945
165;22;1.000000;0.951226;1.048774;0.026488;3.734623;4.976935;4.545455;0.421268
166;22;1.000000;0.951750;1.048250;0.026337;3.739500;4.976472;4.545455;0.419604
167;21;1.000000;0.480501;1.488860;0.157871;3.744325;9.864605;4.761905;1.212052
168;21;1.000000;0.495331;1.473929;0.153403;3.749099;9.763769;4.761905;1.191608
169;21;1.000000;0.509668;1.459494;0.149104;3.753821;9.665910;4.761905;1.171975
170;21;1.000000;0.523529;1.445537;0.144967;3.758494;9.570927;4.761905;1.153118
171;21;1.000000;0.536930;1.432043;0.140987;3.763118;9.478726;4.761905;1.135001
172;21;1.000000;0.549887;1.418995;0.137157;3.767694;9.389215;4.761905;1.117593
173;21;1.000000;0.562416;1.406377;0.133472;3.772223;9.302304;4.761905;1.100862
174;21;1.000000;0.574533;1.394175;0.129926;3.776705;9.217908;4.761905;1.084778
175;21;1.000000;0.586250;1.382374;0.126514;3.781142;9.135944;4.761905;1.069311
176;21;1.000000;0.597583;1.370960;0.123230;3.785535;9.056331;4.761905;1.054434
177;21;1.000000;0.608544;1.359920;0.120071;3.789884;8.978994;4.761905;1.040121
178;21;1.000000;0.619147;1.349241;0.117031;3.794190;8.903856;4.761905;1.026344
179;21;1.000000;0.629404;1.338910;0.114106;3.798456;8.830847;4.761905;1.013081
180;21;1.000000;0.639327;1.328915;0.111291;3.802680;8.759896;4.761905;1.000308
181;21;1.000000;0.648928;1.319245;0.108582;3.806866;8.690938;4.761905;0.988001
182;21;1.000000;0.658218;1.309888;0.105975;3.811012;8.623906;4.761905;0.976141
183;21;1.000000;0.667207;1.300835;0.103466;3.815121;8.558739;4.761905;0.964705
184;21;1.000000;0.675905;1.292073;0.101052;3.819194;8.495376;4.761905;0.953675
185;21;1.000000;0.684324;1.283594;0.098728;3.823230;8.433759;4.761905;0.943032
186;21;1.000000;0.692473;1.275387;0.096491;3.827232;8.373832;4.761905;0.932757
187;21;1.000000;0.700360;1.267444;0.094338;3.831201;8.315541;4.761905;0.922834
188;21;1.000000;0.707995;1.259755;0.092265;3.835136;8.258833;4.761905;0.913247
189;21;1.000000;0.715387;1.252312;0.090269;3.839040;8.203657;4.761905;0.903980
190;21;1.000000;0.722544;1.245106;0.088348;3.842912;8.149964;4.761905;0.895018
191;21;1.000000;0.729474;1.238129;0.086498;3.846754;8.097708;4.761905;0.886347
192;21;1.000000;0.736184;1.231373;0.084716;3.850567;8.046842;4.761905;0.877953
193;21;1.000000;0.742683;1.224832;0.083000;3.854352;7.997324;4.761905;0.869824
194;21;1.000000;0.748977;1.218496;0.081348;3.858109;7.949109;4.761905;0.861947
195;21;1.000000;0.755074;1.212361;0.079755;3.861839;7.902157;4.761905;0.854311
196;21;1.000000;0.760979;1.206418;0.078221;3.865543;7.856428;4.761905;0.846906
197;21;1.000000;0.766701;1.200662;0.076743;3.869222;7.811884;4.761905;0.839719
198;21;1.000000;0.772244;1.195086;0.075318;3.872876;7.768488;4.761905;0.832742
199;21;1.000000;0.777615;1.189684;0.073945;3.876507;7.726204;4.761905;0.825964
200;21;1.000000;0.782820;1.184450;0.072621;3.880114;7.684997;4.761905;0.819378
201;21;1.000000;0.787865;1.179378;0.071344;3.883700;7.644834;4.761905;0.812973
202;21;1.000000;0.792754;1.174464;0.070113;3.887264;7.605683;4.761905;0.806742
203;21;1.000000;0.797493;1.169701;0.068925;3.890806;7.567512;4.761905;0.800678
204;21;1.000000;0.802087;1.165085;0.067779;3.894329;7.530291;4.761905;0.794773
205;21;1.000000;0.806541;1.160611;0.066673;3.897832;7.493991;4.761905;0.789019
206;21;1.000000;0.810860;1.156274;0.065605;3.901316;7.458584;4.761905;0.783410
207;21;1.000000;0.815048;1.152070;0.064574;3.904781;7.424043;4.761905;0.777941
208;21;1.000000;0.819110;1.147994;0.063578;3.908229;7.390341;4.761905;0.772604
209;21;1.000000;0.823049;1.144042;0.062616;3.911659;7.357452;4.761905;0.767394
210;21;1.000000;0.826871;1.140210;0.061687;3.915073;7.325353;4.761905;0.762306
211;21;1.000000;0.830578;1.136494;0.060788;3.918470;7.294019;4.761905;0.757335
212;21;1.000000;0.834174;1.132889;0.059919;3.921852;7.263427;4.761905;0.752475
213;21;1.000000;0.837664;1.129394;0.059079;3.925218;7.233556;4.761905;0.747722
214;21;1.000000;0.841051;1.126003;0.058266;3.928569;7.204383;4.761905;0.743072
215;21;1.000000;0.844337;1.122713;0.057480;3.931907;7.175888;4.761905;0.738520
216;21;1.000000;0.847528;1.119522;0.056718;3.935230;7.148050;4.761905;0.734063
217;21;1.000000;0.850625;1.116425;0.055981;3.938539;7.120851;4.761905;0.729696
218;21;1.000000;0.853631;1.113420;0.055266;3.941836;7.094271;4.761905;0.725416
219;21;1.000000;0.856551;1.110504;0.054574;3.945120;7.068292;4.761905;0.721220
220;21;1.000000;0.859386;1.107674;0.053903;3.948391;7.042896;4.761905;0.717104
221;21;1.000000;0.862139;1.104927;0.053252;3.951651;7.018068;4.761905;0.713066
222;21;1.000000;0.864813;1.102261;0.052621;3.954899;6.993789;4.761905;0.709102
223;21;1.000000;0.867411;1.099672;0.052008;3.958135;6.970044;4.761905;0.705209
224;21;1.000000;0.869935;1.097159;0.051414;3.961361;6.946818;4.761905;0.701385
225;21;1.000000;0.872387;1.094718;0.050836;3.964576;6.924096;4.761905;0.697627
226;21;1.000000;0.874770;1.092349;0.050275;3.967780;6.901862;4.761905;0.693934
227;21;1.000000;0.877086;1.090047;0.049730;3.970974;6.880105;4.761905;0.690302
228;21;1.000000;0.879338;1.087812;0.049200;3.974159;6.858808;4.761905;0.686729
229;21;1.000000;0.881526;1.085641;0.048685;3.977333;6.837961;4.761905;0.683213
230;21;1.000000;0.883654;1.083532;0.048183;3.980499;6.817550;4.761905;0.679753
231;21;1.000000;0.885723;1.081482;0.047695;3.983655;6.797562;4.761905;0.676347
232;21;1.000000;0.887735;1.079491;0.047220;3.986802;6.777986;4.761905;0.672992
233;21;1.000000;0.889692;1.077557;0.046757;3.989940;6.758810;4.761905;0.669687
234;21;1.000000;0.891596;1.077020;0.046306;3.993070;6.740024;4.761905;0.666430
235;21;1.000000;0.893254;1.076629;0.045867;3.996191;6.721616;4.761905;0.663220
236;21;1.000000;0.893794;1.076229;0.045438;3.999304;6.703576;4.761905;0.660056
237;21;1.000000;0.894340;1.075823;0.045020;4.002409;6.685893;4.761905;0.656935
238;21;1.000000;0.894892;1.075410;0.044612;4.005505;6.668559;4.761905;0.653856
239;21;1.000000;0.895449;1.074991;0.044214;4.008595;6.651563;4.761905;0.650819
240;21;1.000000;0.896011;1.074566;0.043826;4.011676;6.634897;4.761905;0.647822
241;21;1.000000;0.896578;1.074136;0.043446;4.014750;6.618551;4.761905;0.644863
242;21;1.000000;0.897149;1.073701;0.043075;4.017816;6.602517;4.761905;0.641942
243;21;1.000000;0.897723;1.073262;0.042712;4.020875;6.586786;4.761905;0.639057
244;21;1.000000;0.898300;1.072819;0.042357;4.023927;6.571351;4.761905;0.636208
245;21;1.000000;0.898880;1.072373;0.042010;4.026972;6.556203;4.761905;0.633393
246;21;1.000000;0.899463;1.071923;0.041671;4.030009;6.541335;4.761905;0.630612
247;21;1.000000;0.900047;1.071471;0.041339;4.033040;6.526740;4.761905;0.627863
248;21;1.000000;0.900633;1.071017;0.041013;4.036064;6.512410;4.761905;0.625147
249;21;1.000000;0.901220;1.070560;0.040695;4.039081;6.498339;4.761905;0.622461
250;21;1.000000;0.901808;1.070102;0.040383;4.042091;6.484519;4.761905;0.619805
251;21;1.000000;0.902397;1.069643;0.040077;4.045094;6.470945;4.761905;0.617178
252;21;1.000000;0.902986;1.069182;0.039777;4.048091;6.457609;4.761905;0.614580
253;21;1.000000;0.903576;1.068720;0.039483;4.051081;6.444507;4.761905;0.612010
254;21;1.000000;0.904165;1.068258;0.039194;4.054064;6.431631;4.761905;0.609466
255;21;1.000000;0.904754;1.067796;0.038911;4.057041;6.418976;4.761905;0.606950
256;21;1.000000;0.905343;1.067333;0.038633;4.060011;6.406537;4.761905;0.604459
257;21;1.000000;0.905930;1.066870;0.038360;4.062975;6.394308;4.761905;0.601994
258;21;1.000000;0.906517;1.066408;0.038093;4.065932;6.382284;4.761905;0.599553
259;21;1.000000;0.907102;1.065946;0.037829;4.068883;6.370460;4.761905;0.597136
260;21;1.000000;0.907686;1.065485;0.037571;4.071827;6.358830;4.761905;0.594743
261;20;1.048857;0.908269;1.500000;0.152907;4.074765;9.803589;5.000000;1.257266
262;20;1.049011;0.908849;1.498297;0.151744;4.077696;9.802198;5.000000;1.255757
263;20;1.049002;0.909428;1.493413;0.150143;4.080621;9.800478;5.000000;1.254379
264;20;1.048994;0.910005;1.488626;0.148587;4.083539;9.798757;5.000000;1.253188
265;20;1.048985;0.910580;1.483931;0.147074;4.086451;9.797035;5.000000;1.252173
266;20;1.048977;0.911153;1.479328;0.145603;4.089357;9.795312;5.000000;1.251324
267;20;1.048968;0.911723;1.474814;0.144172;4.092256;9.793589;5.000000;1.250633
268;20;1.048959;0.912290;1.470387;0.142780;4.095150;9.791864;5.000000;1.250091
269;20;1.048951;0.912855;1.466045;0.141425;4.098037;9.790140;5.000000;1.249689
270;20;1.048942;0.913418;1.461785;0.140106;4.100919;9.788414;5.000000;1.249420
271;20;1.048933;0.913977;1.457605;0.138821;4.103795;9.786688;5.000000;1.249276
272;20;1.048925;0.914534;1.453504;0.137571;4.106667;9.784962;5.000000;1.249249
273;20;1.048916;0.915088;1.449480;0.136352;4.109533;9.783236;5.000000;1.249334
274;20;1.048908;0.915638;1.445530;0.135165;4.112395;9.781509;5.000000;1.249524
275;20;1.048899;0.916186;1.441654;0.134007;4.115253;9.779782;5.000000;1.249813
276;20;1.048890;0.916730;1.437848;0.132879;4.118107;9.778054;5.000000;1.250194
277;20;1.048882;0.917272;1.434113;0.131778;4.120958;9.776327;5.000000;1.250664
278;20;1.048873;0.917810;1.430445;0.130704;4.123805;9.774600;5.000000;1.251216
279;20;1.048864;0.918344;1.426843;0.129657;4.095720;9.772873;5.000000;1.251845
280;20;1.048856;0.918875;1.423306;0.128634;4.060368;9.771146;5.000000;1.252548
281;20;1.048847;0.919403;1.419832;0.127636;4.025653;9.769419;5.000000;1.253319
282;20;1.048838;0.919928;1.416420;0.126660;3.991560;9.767692;5.000000;1.254155
283;20;1.048830;0.920449;1.413067;0.125708;3.958076;9.765966;5.000000;1.255052
284;20;1.048821;0.920966;1.409774;0.124777;3.925185;9.764240;5.000000;1.256006
285;20;1.048813;0.921480;1.406538;0.123868;3.892874;9.762514;5.000000;1.257013
286;20;1.048804;0.921990;1.403358;0.122978;3.861130;9.760789;5.000000;1.258071
287;20;1.048795;0.922497;1.400233;0.122109;3.829939;9.759065;5.000000;1.259176
288;20;1.000000;0.404195;1.397162;0.166179;3.799289;9.757341;5.000000;1.260325
289;20;1.000000;0.420870;1.384385;0.161536;3.866741;9.658044;5.000000;1.238532
290;20;1.000000;0.437007;1.372052;0.157067;3.931765;9.561692;5.000000;1.217578
291;20;1.000000;0.452626;1.360145;0.152764;3.994447;9.468188;5.000000;1.197428
292;20;1.000000;0.467743;1.348651;0.148623;4.054870;9.377436;5.000000;1.178047
