step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.025000;1.000000;1.500000;0.108972;5.000000;5.000000;5.000000;0.000000
2;20;1.025508;1.000000;1.500000;0.108867;4.950000;5.050000;5.000000;0.015811
3;20;1.026024;1.000000;1.500000;0.108780;4.900508;5.099493;5.000000;0.031463
4;20;1.026550;1.000000;1.500000;0.108714;4.851527;5.148474;5.000000;0.046954
5;20;1.027082;1.000000;1.500000;0.108668;4.803062;5.196940;5.000000;0.062285
6;20;1.027622;1.000000;1.500000;0.108642;4.755116;5.244891;5.000000;0.077457
7;20;1.028167;1.000000;1.500000;0.108638;4.707692;5.292324;5.000000;0.092470
8;20;1.028717;1.000000;1.500000;0.108655;4.660789;5.339240;5.000000;0.107325
9;20;1.029271;1.000000;1.500000;0.108692;4.614411;5.385641;5.000000;0.122024
10;20;1.029829;1.000000;1.500000;0.108750;4.568557;5.431527;5.000000;0.136568
11;20;1.030390;1.000000;1.500000;0.108828;4.523226;5.476901;5.000000;0.150958
12;20;1.030954;1.000000;1.500000;0.108926;4.478419;5.521767;5.000000;0.165197
13;20;1.031519;1.000000;1.500000;0.109043;4.434134;5.566129;5.000000;0.179287
14;20;1.032085;1.000000;1.500000;0.109179;4.390368;5.609990;5.000000;0.193229
15;20;1.032651;1.000000;1.500000;0.109332;4.347119;5.653357;5.000000;0.207027
16;20;1.033218;1.000000;1.500000;0.109503;4.304385;5.696233;5.000000;0.220682
17;20;1.033784;1.000000;1.500000;0.109690;4.262163;5.738626;5.000000;0.234196
18;20;1.034350;1.000000;1.500000;0.109892;4.220447;5.780542;5.000000;0.247574
19;20;1.034915;1.000000;1.500000;0.110110;4.179235;5.821987;5.000000;0.260816
20;20;1.035478;1.000000;1.500000;0.110341;4.138521;5.862968;5.000000;0.273926
21;20;1.036039;1.000000;1.500000;0.110585;4.098301;5.903492;5.000000;0.286907
