step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.001250;1.000000;1.025000;0.005449;5.000000;5.000000;5.000000;0.000000
2;20;1.002437;1.000000;1.048737;0.010622;4.997500;5.002500;5.000000;0.000791
3;20;1.003563;1.000000;1.071264;0.015532;4.992626;5.007374;5.000000;0.002332
4;20;1.004631;1.000000;1.092628;0.020188;4.985500;5.014500;5.000000;0.004585
5;20;1.005644;1.000000;1.112878;0.024601;4.976237;5.023763;5.000000;0.007514
6;20;1.006603;1.000000;1.132059;0.028782;4.964949;5.035051;5.000000;0.011084
7;20;1.007511;1.000000;1.150214;0.032738;4.951743;5.048257;5.000000;0.015260
8;20;1.008369;1.000000;1.167387;0.036481;4.936722;5.063278;5.000000;0.020010
9;20;1.009181;1.000000;1.183618;0.040019;4.919983;5.080017;5.000000;0.025304
10;20;1.009947;1.000000;1.198945;0.043359;4.901621;5.098379;5.000000;0.031110
11;20;1.010670;1.000000;1.213407;0.046511;4.881727;5.118273;5.000000;0.037401
12;20;1.011352;1.000000;1.227038;0.049482;4.860386;5.139614;5.000000;0.044150
13;20;1.011994;1.000000;1.239875;0.052279;4.837682;5.162318;5.000000;0.051329
14;20;1.012597;1.000000;1.251949;0.054911;4.813695;5.186305;5.000000;0.058915
15;20;1.013165;1.000000;1.263294;0.057384;4.788500;5.211500;5.000000;0.066882
16;20;1.013697;1.000000;1.273941;0.059704;4.762171;5.237829;5.000000;0.075208
17;20;1.014196;1.000000;1.283917;0.061878;4.734777;5.265223;5.000000;0.083871
18;20;1.014663;1.000000;1.293253;0.063913;4.706385;5.293615;5.000000;0.092849
19;20;1.015099;1.000000;1.301976;0.065814;4.677059;5.322941;5.000000;0.102123
20;20;1.015506;1.000000;1.310112;0.067587;4.646862;5.353138;5.000000;0.111672
21;20;1.015884;1.000000;1.317685;0.069238;4.615851;5.384149;5.000000;0.121479
22;20;1.016236;1.000000;1.324721;0.070771;4.584082;5.415918;5.000000;0.131525
23;20;1.016562;1.000000;1.331243;0.072193;4.551610;5.448390;5.000000;0.141793
24;20;1.016864;1.000000;1.337274;0.073507;4.518486;5.481514;5.000000;0.152268
25;20;1.017399;1.000000;1.342834;0.074664;4.484758;5.515242;5.000000;0.162934
26;20;1.017917;1.000000;1.347946;0.075730;4.450733;5.549267;5.000000;0.173694
27;20;1.018416;1.000000;1.352631;0.076710;4.416457;5.583543;5.000000;0.184533
28;20;1.018899;1.000000;1.356909;0.077609;4.381979;5.618021;5.000000;0.195436
29;20;1.019366;1.000000;1.360800;0.078431;4.347342;5.652658;5.000000;0.206390
30;20;1.019818;1.000000;1.364323;0.079180;4.312588;5.687412;5.000000;0.217382
31;20;1.020255;1.000000;1.367496;0.079861;4.277757;5.722243;5.000000;0.228400
32;20;1.020677;1.000000;1.370336;0.080477;4.242887;5.757113;5.000000;0.239432
33;20;1.021087;1.000000;1.372859;0.081032;4.208014;5.791986;5.000000;0.250466
34;20;1.021483;1.000000;1.375082;0.081531;4.173172;5.826828;5.000000;0.261494
35;20;1.021867;1.000000;1.377020;0.081976;4.138393;5.861607;5.000000;0.272504
36;20;1.022239;1.000000;1.378687;0.082370;4.103706;5.896294;5.000000;0.283489
37;20;1.022599;1.000000;1.380099;0.082718;4.069142;5.930858;5.000000;0.294439
38;20;1.022948;1.000000;1.381267;0.083021;4.034726;5.965274;5.000000;0.305346
39;20;1.023286;1.000000;1.382206;0.083284;4.000484;5.999516;5.000000;0.316204
40;20;1.023614;1.000000;1.382928;0.083508;3.966440;6.033560;5.000000;0.327004
41;20;1.023931;1.000000;1.383445;0.083698;3.932614;6.067386;5.000000;0.337742
42;20;1.024239;1.000000;1.383768;0.083854;3.899029;6.100971;5.000000;0.348410
43;20;1.024537;1.000000;1.383908;0.083979;3.865703;6.134297;5.000000;0.359004
44;20;1.024826;1.000000;1.383876;0.084077;3.832654;6.167346;5.000000;0.369518
45;20;1.025106;1.000000;1.383681;0.084148;3.799899;6.200101;5.000000;0.379948
46;20;1.025377;1.000000;1.383335;0.084196;3.767453;6.232547;5.000000;0.390289
47;20;1.025639;1.000000;1.382845;0.084221;3.735329;6.264671;5.000000;0.400538
48;20;1.025893;1.000000;1.382220;0.084226;3.703541;6.296459;5.000000;0.410691
49;20;1.026138;1.000000;1.381470;0.084213;3.672101;6.327899;5.000000;0.420746
50;20;1.026059;1.000000;1.348806;0.078506;3.641019;6.358981;5.000000;0.430698
51;20;1.025982;1.000000;1.317514;0.073815;3.613485;6.383970;5.000000;0.439172
52;20;1.025906;1.000000;1.287569;0.070175;3.589356;6.403133;5.000000;0.446238
53;20;1.025832;1.000000;1.258949;0.067595;3.568494;6.416729;5.000000;0.451972
54;20;1.025760;1.000000;1.231631;0.066043;3.550758;6.425013;5.000000;0.456451
55;20;1.025690;1.000000;1.221600;0.065450;3.536010;6.428233;5.000000;0.459752
56;20;1.025621;1.000000;1.242654;0.065709;3.524112;6.426631;5.000000;0.461952
