step;alive;min_v;max_v;std_v;min_gap;max_gap;std_gap
0;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
1;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
2;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
3;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
4;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
5;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
6;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
7;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
8;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
9;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
10;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
11;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
12;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
13;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
14;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
15;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
16;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
17;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
18;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
19;20;1.000000;1.000000;0.000000;5.000000;5.000000;0.000000
20;19;0.000000;1.500000;0.255141;5.000000;10.000000;1.116484
21;19;0.000000;1.500000;0.255271;5.000000;9.850000;1.081403
22;19;0.000000;1.500000;0.255670;5.000000;9.700000;1.046864
23;19;0.000000;1.500000;0.256275;5.000000;9.550000;1.012865
24;19;0.000000;1.500000;0.257037;5.000000;9.400000;0.979415
25;19;0.000000;1.500000;0.257918;5.000000;9.250000;0.946530
26;19;0.049730;1.500000;0.249107;5.000000;9.100000;0.914232
27;19;0.133333;1.500000;0.234033;5.000000;8.954973;0.883536
28;19;0.209389;1.500000;0.220855;5.000000;8.818306;0.855034
29;19;0.278686;1.500000;0.209352;5.000000;8.689245;0.828473
30;19;0.341924;1.500000;0.199326;5.000000;8.567114;0.803637
31;19;0.399723;1.500000;0.190605;5.000000;8.451306;0.780340
32;19;0.452632;1.500000;0.183032;5.000000;8.341279;0.758420
33;19;0.501142;1.500000;0.176470;5.000000;8.236542;0.737739
34;19;0.545688;1.500000;0.170797;5.000000;8.136656;0.718176
35;19;0.586656;1.500000;0.165903;5.000000;8.041225;0.699628
36;19;0.795311;1.500000;0.169651;5.000000;7.949890;0.682005
37;19;0.589159;1.500000;0.165205;5.000000;7.949890;0.678357
38;19;0.628243;1.500000;0.160944;5.000000;7.858806;0.661088
39;19;0.664161;1.500000;0.157328;5.000000;7.771631;0.644694
40;19;0.825300;1.500000;0.169532;5.000000;7.688047;0.629099
41;19;0.663491;1.500000;0.157308;5.000000;7.688047;0.625605
42;19;0.697989;1.500000;0.154156;5.000000;7.604396;0.610306
43;19;0.729676;1.500000;0.151530;5.000000;7.524195;0.595774
44;19;0.758831;1.500000;0.149350;5.000000;7.447162;0.581946
45;19;0.785704;1.500000;0.147551;5.000000;7.373045;0.568765
46;19;0.855727;1.500000;0.170365;5.000000;7.301616;0.556187
47;19;0.778301;1.500000;0.148147;5.000000;7.301616;0.552737
48;19;0.805003;1.500000;0.146539;5.000000;7.229446;0.540394
49;19;0.829572;1.500000;0.145250;5.000001;7.159946;0.528651
50;19;0.852219;1.500000;0.144228;5.000001;7.092903;0.517467
51;19;0.873130;1.500000;0.143429;5.000001;7.028125;0.506806
52;19;0.886477;1.500000;0.142818;5.000002;6.965438;0.496635
53;19;0.889444;1.500000;0.142362;5.000002;6.904686;0.486930
54;19;0.892725;1.500000;0.142037;5.000003;6.845726;0.477667
55;19;0.896259;1.500000;0.141822;5.000004;6.788430;0.468826
56;19;0.899994;1.500000;0.141698;5.000005;6.732681;0.460391
57;19;0.903883;1.500000;0.161275;5.000007;6.678374;0.452347
58;19;0.907890;1.500000;0.161275;5.000008;6.625411;0.443828
59;19;0.911981;1.500000;0.161334;5.000010;6.573705;0.435689
60;19;0.916128;1.500000;0.161440;5.000013;6.523174;0.427919
61;19;0.920308;1.500000;0.161583;5.000016;6.473746;0.420507
62;19;0.924500;1.500000;0.161755;5.000020;6.425353;0.413445
63;19;0.928688;1.500000;0.161951;5.000024;6.377933;0.406727
64;19;0.932859;1.500000;0.162165;5.000029;6.331429;0.400346
65;19;0.936999;1.500000;0.162394;5.000035;6.285788;0.394299
66;19;0.941100;1.500000;0.162634;5.000042;6.240963;0.388582
67;19;0.945153;1.500000;0.162882;5.000049;6.196910;0.383190
68;19;0.949152;1.500000;0.163136;5.000058;6.153586;0.378123
69;19;0.953092;1.500000;0.163395;5.000069;6.110953;0.373376
70;19;0.955455;1.500000;0.163656;5.000081;6.068977;0.368949
71;19;0.956609;1.500000;0.163919;5.000094;6.027625;0.364840
72;19;0.957787;1.500000;0.134740;5.000109;6.004697;0.361046
73;19;0.958987;1.316991;0.097080;5.000126;5.977468;0.357442
74;19;0.960206;1.307404;0.095568;5.000141;5.971865;0.354262
75;19;0.961432;1.298831;0.094191;5.000157;5.969180;0.351200
76;19;0.962659;1.291134;0.092921;5.000174;5.965940;0.348241
77;19;0.963877;1.284194;0.091738;5.000193;5.962224;0.345372
78;19;0.965083;1.277909;0.090629;5.000213;5.958102;0.342584
79;19;0.966271;1.272192;0.089579;5.000235;5.953636;0.339869
80;19;0.967438;1.266966;0.088581;5.000259;5.948878;0.337221
81;19;0.968580;1.262166;0.087627;5.000284;5.943873;0.334635
82;19;0.969698;1.257737;0.086712;5.000312;5.938663;0.332107
83;19;0.970787;1.253631;0.085830;5.000342;5.933281;0.329632
84;19;0.971849;1.249805;0.084978;5.000374;5.927758;0.327207
85;19;0.972882;1.246224;0.084153;5.000408;5.922119;0.324831
86;19;0.973885;1.242857;0.083353;5.000444;5.916389;0.322500
87;19;0.974859;1.239678;0.082575;5.000484;5.910586;0.320212
88;19;0.975804;1.236663;0.081818;5.000526;5.904727;0.317966
89;19;0.976721;1.233793;0.081081;5.000571;5.898828;0.315760
90;19;0.977609;1.231052;0.080363;5.000618;5.892902;0.313592
91;19;0.978469;1.228423;0.079661;5.000669;5.886961;0.311460
92;19;0.979302;1.225895;0.078976;5.000724;5.881013;0.309364
93;19;0.980109;1.223456;0.078307;5.000782;5.875068;0.307302
94;19;0.980889;1.221098;0.077652;5.000843;5.869133;0.305273
95;19;0.981645;1.218811;0.077011;5.000908;5.863214;0.303276
96;19;0.982377;1.216590;0.076384;5.000978;5.857318;0.301310
97;19;0.983085;1.214427;0.075770;5.001051;5.851448;0.299374
98;19;0.983770;1.212317;0.075168;5.001129;5.845609;0.297467
99;19;0.984434;1.210257;0.074578;5.001211;5.839804;0.295587
100;19;0.985031;1.208241;0.074000;5.001299;5.834037;0.293735
101;19;0.985336;1.206267;0.073433;5.001391;5.828310;0.291909
102;19;0.985639;1.204331;0.072876;5.001488;5.822625;0.290109
103;19;0.985939;1.202431;0.072330;5.001591;5.816984;0.288333
104;19;0.986236;1.200565;0.071794;5.001700;5.811388;0.286582
105;19;0.986529;1.198730;0.071267;5.001814;5.805839;0.284854
106;19;0.986820;1.196926;0.070750;5.001934;5.800338;0.283149
107;19;0.987107;1.195149;0.070241;5.002061;5.794886;0.281466
108;19;0.987390;1.193399;0.069742;5.002194;5.789483;0.279805
109;19;0.987669;1.191676;0.069250;5.002334;5.784130;0.278165
110;19;0.987945;1.189977;0.068767;5.002481;5.778826;0.276545
111;19;0.988217;1.188302;0.068292;5.002635;5.773573;0.274945
112;19;0.988486;1.186650;0.067825;5.002797;5.768371;0.273364
113;19;0.988750;1.185020;0.067365;5.002967;5.763218;0.271802
114;19;0.989011;1.183412;0.066912;5.003144;5.758117;0.270259
115;19;0.989267;1.181825;0.066466;5.003330;5.753065;0.268734
116;19;0.989520;1.180258;0.066027;5.003524;5.748063;0.267226
117;19;0.989769;1.178712;0.065595;5.003727;5.743111;0.265735
118;19;0.990014;1.177185;0.065169;5.003939;5.738209;0.264261
119;19;0.990256;1.175677;0.064749;5.004159;5.733356;0.262803
120;19;0.990493;1.174188;0.064335;5.004390;5.729876;0.261361
121;19;0.990727;1.172717;0.063927;5.004630;5.726989;0.259935
122;19;0.990957;1.171682;0.063525;5.004880;5.724097;0.258524
123;19;0.991183;1.170872;0.063129;5.005140;5.721202;0.257127
124;19;0.991405;1.170060;0.062738;5.005410;5.718304;0.255745
125;19;0.991624;1.169244;0.062352;5.005691;5.715405;0.254377
126;19;0.991840;1.168425;0.061972;5.005983;5.712504;0.253023
127;19;0.992052;1.167604;0.061596;5.006286;5.709602;0.251682
128;19;0.992260;1.166781;0.061225;5.006600;5.706700;0.250355
129;19;0.992465;1.165956;0.060859;5.006925;5.703799;0.249040
130;19;0.992667;1.165130;0.060498;5.007262;5.700899;0.247739
131;19;0.992865;1.164303;0.060141;5.007611;5.698000;0.246449
132;19;0.993060;1.163475;0.059789;5.007972;5.695104;0.245172
133;19;0.993252;1.162647;0.059441;5.008345;5.692211;0.243906
134;19;0.993441;1.161818;0.059097;5.008730;5.689320;0.242652
135;19;0.993627;1.160990;0.058757;5.009128;5.686434;0.241410
136;19;0.993809;1.160162;0.058421;5.009456;5.683552;0.240178
137;19;0.993989;1.159334;0.058089;5.009731;5.680675;0.238958
138;19;0.994166;1.158507;0.057761;5.010012;5.677803;0.237748
139;19;0.994341;1.157682;0.057437;5.010300;5.674936;0.236549
140;19;0.994512;1.156857;0.057116;5.010595;5.672075;0.235360
141;19;0.994681;1.156034;0.056799;5.010897;5.669221;0.234181
142;19;0.994847;1.155212;0.056485;5.011207;5.666373;0.233012
143;19;0.995011;1.154392;0.056174;5.011523;5.663532;0.231852
144;19;0.995168;1.153574;0.055867;5.011848;5.660699;0.230702
145;19;0.995269;1.152758;0.055563;5.012179;5.657873;0.229562
146;19;0.995370;1.151944;0.055263;5.012519;5.655055;0.228431
147;19;0.995471;1.151133;0.054965;5.012866;5.652246;0.227308
148;19;0.995572;1.150324;0.054670;5.013222;5.649444;0.226195
149;19;0.995674;1.149518;0.054379;5.013585;5.646652;0.225090
150;19;0.995776;1.148714;0.054090;5.013957;5.643868;0.223994
151;19;0.995878;1.147913;0.053804;5.014337;5.641094;0.222906
152;19;0.995980;1.147116;0.053521;5.014726;5.638329;0.221827
153;19;0.996083;1.146321;0.053240;5.015123;5.635573;0.220755
154;19;0.996186;1.145529;0.052963;5.015529;5.632827;0.219692
155;19;0.996289;1.144741;0.052687;5.015944;5.630091;0.218636
156;19;0.996392;1.143956;0.052415;5.016368;5.627365;0.217588
157;19;0.996496;1.143175;0.052145;5.016800;5.624650;0.216548
