step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
2;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
3;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
4;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
5;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
6;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
7;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
8;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
9;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
10;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
11;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
12;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
13;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
14;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
15;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
16;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
17;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
18;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
19;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
20;19;0.986842;0.250000;1.500000;0.206374;5.000000;10.000000;5.263158;1.116484
21;19;0.990526;0.306250;1.500000;0.196058;5.000000;9.875000;5.263158;1.087197
22;19;0.994043;0.358281;1.500000;0.186929;5.000000;9.755625;5.263158;1.059548
23;19;0.997404;0.406447;1.500000;0.178882;5.000000;9.641453;5.263158;1.033387
24;19;1.000621;0.451068;1.500000;0.171819;5.000000;9.532098;5.263158;1.008577
25;19;1.003704;0.492437;1.500000;0.165648;5.000000;9.427205;5.263158;0.985000
26;19;1.006664;0.530821;1.500000;0.160284;5.000000;9.326448;5.263158;0.962546
27;19;1.009508;0.566463;1.500000;0.155648;5.000000;9.229530;5.263158;0.941121
28;19;1.012245;0.599585;1.500000;0.151666;5.000000;9.136177;5.263158;0.920638
29;19;1.014882;0.630388;1.500000;0.148269;5.000000;9.046135;5.263158;0.901019
30;19;1.017427;0.659059;1.500000;0.145393;5.000000;8.959174;5.263158;0.882195
31;19;1.019885;0.685764;1.500000;0.142981;5.000000;8.875080;5.263158;0.864105
32;19;1.022262;0.710660;1.500000;0.140978;5.000000;8.793656;5.263158;0.846692
33;19;1.024564;0.733886;1.500000;0.139338;5.000000;8.714722;5.263158;0.829906
34;19;1.026795;0.755572;1.500000;0.138014;5.000000;8.638111;5.263158;0.813701
35;19;1.028960;0.775835;1.500000;0.136969;5.000000;8.563668;5.263158;0.798038
36;19;1.031064;0.794785;1.500000;0.136167;5.000000;8.491252;5.263158;0.782879
37;19;1.033110;0.812519;1.500000;0.135576;5.000000;8.420730;5.263158;0.768190
38;19;1.035102;0.829130;1.500000;0.135169;5.000000;8.351982;5.263158;0.753942
39;19;1.037043;0.844699;1.500000;0.134921;5.000000;8.284895;5.263158;0.740108
40;19;1.038937;0.859304;1.500000;0.134810;5.000000;8.219365;5.263158;0.726664
41;19;1.040786;0.873016;1.500000;0.134818;5.000000;8.155295;5.263158;0.713586
42;19;1.042592;0.885898;1.500000;0.134928;5.000000;8.092597;5.263158;0.700855
43;19;1.044359;0.898010;1.500000;0.135125;5.000000;8.031187;5.263158;0.688453
44;19;1.046089;0.909406;1.500000;0.135397;5.000000;7.970988;5.263158;0.676363
45;19;1.047784;0.920138;1.500000;0.135733;5.000000;7.911928;5.263158;0.664571
46;19;1.049445;0.930250;1.500000;0.136124;5.000000;7.853942;5.263158;0.653062
47;19;1.051075;0.939787;1.500000;0.136560;5.000000;7.796967;5.263158;0.641826
48;19;1.052676;0.948787;1.500000;0.137035;5.000000;7.740946;5.263158;0.630850
49;19;1.054248;0.955125;1.500000;0.137543;5.000000;7.685824;5.263158;0.620126
50;19;1.055794;0.956850;1.500000;0.138079;5.000000;7.631553;5.263158;0.609644
51;19;1.057315;0.958582;1.500000;0.138636;5.000000;7.578085;5.263158;0.599397
52;19;1.058813;0.960315;1.500000;0.139213;5.000000;7.525376;5.263158;0.589377
53;19;1.060288;0.962043;1.500000;0.139804;5.000000;7.473387;5.263158;0.579579
54;19;1.061741;0.963763;1.500000;0.140407;5.000000;7.422078;5.263158;0.569997
55;19;1.063174;0.965470;1.500000;0.141020;5.000001;7.371415;5.263158;0.560626
56;19;1.064589;0.967162;1.500000;0.141640;5.000001;7.321364;5.263158;0.551462
57;19;1.065984;0.968835;1.500000;0.142265;5.000001;7.271893;5.263158;0.542502
58;19;1.067363;0.970488;1.500000;0.142894;5.000001;7.222974;5.263158;0.533742
59;19;1.068725;0.972119;1.500000;0.143525;5.000002;7.174578;5.263158;0.525181
60;19;1.070071;0.973725;1.500000;0.144156;5.000002;7.126681;5.263158;0.516816
61;19;1.071402;0.975305;1.500000;0.144788;5.000003;7.079258;5.263158;0.508647
62;19;1.072719;0.976858;1.500000;0.145418;5.000003;7.032286;5.263158;0.500671
63;19;1.074022;0.978384;1.500000;0.146046;5.000004;6.985743;5.263158;0.492889
64;19;1.080244;0.979882;1.500000;0.158791;5.000005;6.939610;5.263158;0.485301
65;19;1.081629;0.981350;1.500000;0.159344;5.000005;6.893868;5.263158;0.477545
66;19;1.082996;0.982789;1.500000;0.159900;5.000006;6.848498;5.263158;0.469993
67;19;1.084348;0.984199;1.500000;0.160455;5.000007;6.803484;5.263158;0.462644
68;19;1.085683;0.985579;1.500000;0.161009;5.000008;6.758810;5.263158;0.455499
69;19;1.087004;0.986930;1.500000;0.161559;5.000009;6.714461;5.263158;0.448558
70;19;1.088310;0.988251;1.500000;0.162105;5.000010;6.670423;5.263158;0.441822
71;19;1.089603;0.989542;1.500000;0.162646;5.000012;6.626681;5.263158;0.435292
72;19;1.090883;0.990805;1.500000;0.163181;5.000013;6.583224;5.263158;0.428971
73;19;1.092151;0.992038;1.500000;0.163710;5.000015;6.540039;5.263158;0.422861
74;19;1.093407;0.992772;1.500000;0.164233;5.000018;6.497116;5.263158;0.416963
75;19;1.094651;0.993027;1.500000;0.164749;5.000020;6.454442;5.263158;0.411282
76;19;1.095885;0.993283;1.500000;0.165258;5.000023;6.412009;5.263158;0.405820
77;19;1.097109;0.993541;1.500000;0.165761;5.000026;6.369806;5.263158;0.400580
78;19;1.098323;0.993800;1.500000;0.166256;5.000029;6.327824;5.263158;0.395567
79;19;1.099528;0.994060;1.500000;0.166744;5.000033;6.286054;5.263158;0.390782
80;19;1.100724;0.994320;1.500000;0.167226;5.000038;6.244488;5.263158;0.386230
